Feature,Importance
profit,0.8359060065117727
discount,0.035270203782361995
sub_category_Supplies,0.024551154195255543
quantity,0.020791877067381514
month,0.011714087446364752
category_Office Supplies,0.008856721576997394
sub_category_Tables,0.007171180706552854
year,0.006084952670243526
sub_category_Chairs,0.005691657624847317
sub_category_Storage,0.004880073119040194
segment_Corporate,0.004750015118455435
sub_category_Machines,0.004666789808367493
sub_category_Bookcases,0.004051584762891867
category_Technology,0.003715772462350583
region_East,0.0031198673546483915
region_West,0.0030482937029550896
sub_category_Phones,0.0024572400870263053
ship_mode_Standard Class,0.0024353226264771416
region_South,0.0019258254940302953
ship_mode_Second Class,0.0015846298553139663
segment_Home Office,0.0015544906756439054
sub_category_Binders,0.0014824166960968209
sub_category_Furnishings,0.0010135032320937316
sub_category_Paper,0.0009438485197671904
sub_category_Appliances,0.0008630268723876976
sub_category_Copiers,0.0005842907335828951
ship_mode_Same Day,0.00048383698597479125
sub_category_Art,0.00017688182049702895
sub_category_Labels,0.00016379742918964905
sub_category_Envelopes,6.0483844531801876e-05
sub_category_Fasteners,1.67216900284044e-07
